comment,date
Eu não achei nada pra fazer com isso 😂😂😂😂😂😂😂 aruan e foda,2025-10-27T16:00:42Z
Alguem de 2025?,2025-10-26T23:50:01Z
Sério o YouTube deve odia esse cara até hoje,2025-10-26T17:06:30Z
Não entendi porque tu quebrou velho você é muito valioso todo mundo dançando direito peba e som 😡,2025-10-26T13:06:01Z
Os cara tão telhado querendo roubar minha Makita,2025-10-25T15:43:11Z
Mlk doente,2025-10-25T15:11:48Z
eu ja IA acreditando,2025-10-25T01:31:03Z
pensar q eu tinha ficado com raiva disso kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk,2025-10-24T16:48:22Z
What the hell,2025-10-24T14:13:33Z
Relembrando a loucura que parou o YouTube brasileiro kkkkk,2025-10-24T04:08:45Z
