date,clean_comment
2025-10-27T22:42:14Z,paz
2025-10-18T14:21:57Z,bolsonaro ferrou fazer debate expresideiario ladrao safado
2025-10-01T23:34:31Z,ladrão sabia responder agora 2025 vendo novo escândalo inss irmão envolvido
2025-08-17T21:46:36Z,alguém conseguiu ainda votar nesse cachaceiro
2025-08-16T10:30:48Z,bolsonaro errou petrobras inss
2025-10-30T00:18:27Z,começou 2019 lula acabou
2025-08-14T07:11:20Z,2011 2016 pt saqueou fundos pensao petrobrás caixa outros
2025-08-03T06:26:11Z,hoje tou esperando transposição francisco
2025-08-02T15:30:48Z,vim futuro pra falar lula tá destruindo brasil
2025-06-17T01:53:23Z,vagabundo mente ladrão
2025-06-05T20:19:25Z,nao lula vendeu duas refinsrias milhoes joias perguntaro investio dinheiro
2025-06-23T12:36:23Z,lula nao vendeu refinarias deu refinarias brasil lula desviou bilhões petrobras filho pula enriqueceu noite pro dia vc continua morrendo fome defendendo ladrão
2025-07-11T17:52:33Z,luciano0932 bolsonaro continua sendo ladrão
2025-05-20T22:34:06Z,lcc16 via rádio tv 2018 salmo 2026 rio 2018 2026 código barra mercado financeiro pirâmide financeira consumir pagar código
2025-05-19T23:55:26Z,vazou traição gorveno roubo ilegal justiça legal comprove todos estás livre
2025-05-12T14:33:31Z,parabéns lula
2025-05-04T00:33:57Z,lula ponto ouvido pode
2025-04-20T10:40:16Z,lula maior líder político dá história
2025-04-14T15:37:51Z,bolsonaro pior político corrupto mundo todo bolsonaro bandido
2025-04-02T00:34:04Z,fez nada governo sabia almenta guazulina
2025-02-28T17:35:37Z,volta império brasil republiqueta bananeira deu errado
2025-02-26T23:12:09Z,cala safado lula
2025-02-24T13:48:29Z,bolsonaro voce safado ladrãão lula cara ganhador politica parabens lulínha
2025-02-23T05:31:26Z,lula sempre presidente lula sempre melhor todos brasileiros orgulho brasileiros
2025-02-21T21:08:17Z,futuro presidente lula terceiro mandato logo vêm quarto mandato prezo juiz mentiroso
2025-02-15T23:21:13Z,impressionante todos aqui chamando lula ladrão patrimônio cara chega metade 51 imóveis comprados dinheiro vivo bolsonaro nojo dessa ignorância política desses intelectuais whatsapp
2025-02-18T01:13:00Z,acusação refutada
2025-01-05T20:43:23Z,corrupção governor lula fez melhor quê bolssonaro
2025-01-08T01:10:03Z,trágico
2024-12-23T11:14:38Z,bafo pitu aroma 51 pessoas falam maduro mal
2024-12-22T01:09:09Z,boa noite luiz inácio lula silva lula manda inelegível ir catar latinhas ok
2024-12-13T18:31:31Z,z
2024-12-08T00:36:17Z,bolsonario poder
2024-10-10T21:29:31Z,lula melhor presidente brasil grande presente
2024-10-11T06:06:50Z,viva lula idolatro
2024-09-09T16:44:54Z,luuula deiiiiixa meeeeetirrr kkkkkkkkkkkkkkkkkk
2024-08-10T08:05:21Z,gente brasil nojo deste l4dr4o descondenado presidiario
2024-08-10T08:02:48Z,mito lider mundial honesto
2024-08-10T08:02:10Z,so valia direita leis lvl4dr40 roubando vontade ta guebrando petrobrz brasil novamente
2024-07-22T11:13:38Z,lula fez tanto qe so ve gente dormindo barraco comendo pouco sendo mandado embora emprego
2024-07-22T11:11:53Z,qe gente ve tanta pobreza lula porqe vc fez
2024-06-05T05:40:52Z,lula ladrão
2024-05-11T00:55:18Z,saudades
2024-04-26T01:51:13Z,lula tão mentiroso crítica condena mentiras citação falsa números sendo flagrado confessando mentia sobre números reuniões globais
2024-04-15T14:42:21Z,vídeo antigo tão atual lule 2024 assumiou domínio sobre petrobras petrolão corre solto novamente
2024-04-05T13:47:31Z,falou tudo fez errado
2024-01-24T02:21:50Z,levar rio francisco nordeste projeto pedro executado governo lula
2024-01-10T20:53:14Z,vai tomar centro caju bolsonaro nunca
2024-01-10T20:52:36Z,melhor presidente brasil lula show bola galera
2023-12-31T23:12:48Z,entao preciso prende lo novo
2023-12-31T23:09:10Z,ex presidente prezo desrrepeito perdeu tres eleicoes ganhou tres eleicoes
2023-12-30T02:46:02Z,melhor presidente brasil lula show bola
2023-12-12T11:00:35Z,deixa memtir lulu
2023-12-07T18:02:28Z,borsonario perdendo lula
2023-12-06T14:10:21Z,lula melhor presente mundo
2023-11-29T22:03:46Z,fwugw7feue7x
2023-11-25T15:04:21Z,mente lula conheço acredito kkkkkk
2023-11-25T15:03:26Z,bossonaro melhor presidente deus abençoe sempre
2023-12-04T13:32:05Z,melhor presidente ex presidente
2023-11-25T15:00:21Z,pergunto lula porque pai pobres porque leite caro lascou vaza lula chega tanta mentira
2023-12-16T07:12:16Z,sei cê sabe valor alto q caixa leite chegou século 21 governo bolsonaro kkkkkkkkkkk conta inflação
2023-11-19T17:03:06Z,mito borsobosta
2023-11-17T23:27:59Z,
2023-11-17T23:27:37Z,mateus
2023-11-02T16:53:46Z,velho canalha vagabundo lição virá senhor exércitos
2023-10-30T22:41:03Z,cuem planta vai colher plantou refinaria julgado punindo
2023-09-27T00:20:19Z,bolsonaro cadeia
2023-09-26T20:05:50Z,ultimo mandato desse pt 2026 segura
2023-09-26T20:03:12Z,lula
2023-09-21T22:23:14Z,bolsonaro parece comno capitão nascimento
2023-09-13T15:21:34Z,verdadeira guerra contra crimes
2023-09-13T15:19:42Z,verdadeira guerra contra crimes
2023-09-13T15:18:47Z,combustível absurdo pernambuco baixa etanol pensar camada ozônio governadora atual raquel lira limites gastos caruaru pe infraestrutura atual prefeito rodrigo pinheiro amigão mesma compactuando corrupção
2023-08-05T20:53:31Z,falou tanto respondeu pergunta
2023-08-05T02:02:23Z,maior mintiroso mundo
2023-08-02T23:32:50Z,assholes none will pay to ad at band pt assholes none will pay to ad at band pt assholes none will pay to ad at band pt asshole
2023-07-30T03:22:56Z,nao bolsonarista debates presidenciais bolsonaro jantou lula todos kkkkk veinho tá lelé cuca
2023-07-19T18:31:11Z,ladrão
2023-07-08T12:23:57Z,bolsonaro sempre verdadeiro
2023-07-07T00:32:53Z,engraçado todo mundo fica discutindo sobre lula melhor bolsonaro bolsonaro melhor lula deixou eleição bem país virou competição sobre passar cima certo independente vencedor eleições apoiar pois esqueceram vivem país decisão vez apóia independente ganhador vcs deseja mal pra ter gosto ver outro desgraça
2023-07-01T18:51:18Z,ladra sera sempre ladrões
2023-06-30T13:06:54Z,venceu melhor
2023-06-28T19:11:27Z,bozo nao vergonha falar correpicao sendo maior corrupito cala bozo voce ja derrotado viva querido lula presidente
2023-07-10T00:40:10Z,olha ai eleitor lula sabe escrever
2023-08-01T12:58:25Z,guilhermeamaral5747exatamente
2023-08-01T12:59:01Z,analfabeto lula construiu escola cidade
2023-06-28T13:21:43Z,nine mentiroso ladráo lugar cadeia
2023-06-28T12:53:07Z,mentiroso veio ladrão
2023-06-27T16:35:13Z,mesma pergunta sobre milícia sobre rachadinhaa
2023-06-23T18:48:18Z,luli nada presente presta
2023-05-27T15:39:29Z,
2023-05-27T15:42:26Z,bopecrop lernopx
2023-05-27T15:37:46Z,enopruzxn
2023-05-26T18:38:38Z,lula bandido
2023-05-25T06:17:13Z,graças deus lula inocente
2023-05-11T00:07:38Z,verdade
2023-05-05T14:30:19Z,lula sabe burro lixo
2023-05-03T13:38:00Z,lula maior ladrão fala roubou fala dinheiro pra venuezela ladrao
2023-04-11T19:17:26Z,governo pilantra ladão safado marcado maior governo corrupido história brasil mentiroso
